,geo_id,geo_type,multi,single,condo,land,owner,rental,total_units,owner_pct,house_age_avg,sqft_avg,lot_size_avg,house_age,lot_size
79,54212,county,45,21880,591,217,19101,5172,24273,0.7869,1994,2401.3364,1.4793804,"{'t1990-99': 5407, 't1980-89': 3773, 't2010-19': 2998, 't1969': 1462, 't2000-09': 8600, 't1970-79': 2033}","{'a125': 20, 'a75': 217, 'a50': 213, 'a25': 104, 'a3': 1893, 'a1': 19801, 'a2': 2025}"
80,54237,county,0,28,0,2,21,9,30,0.7,1986,1637.6786,4.3553333,"{'t1990-99': 7, 't1980-89': 4, 't1969': 6, 't2000-09': 7, 't1970-79': 6}","{'a1': 9, 'a3': 12, 'a2': 9}"
81,28053,county,0,1410,10,0,1043,385,1428,0.7304,1981,1763.7979,7.454861,"{'t1990-99': 261, 't1980-89': 164, 't2010-19': 47, 't1969': 379, 't2000-09': 324, 't1970-79': 253}","{'a125': 1, 'a75': 166, 'a50': 150, 'a25': 33, 'a3': 578, 'a1': 176, 'a2': 324}"
82,64307,county,0,0,0,1,0,1,1,0.0,0,0.0,0.32601234,{'t1969': 1},{'a50': 1}
83,23960,county,0,633,6,7,499,227,726,0.6873,1984,1940.7471,4.312892,"{'t1990-99': 164, 't1980-89': 160, 't2010-19': 14, 't1969': 129, 't2000-09': 158, 't1970-79': 101}","{'a125': 27, 'a75': 50, 'a50': 120, 'a25': 116, 'a3': 244, 'a1': 43, 'a2': 126}"
84,2015,county,13224,683864,46672,4320,590184,167016,757200,0.7794,1971,1933.5858,1.0958945,"{'t1990-99': 106448, 't1980-89': 83024, 't2010-19': 51800, 't1969': 302080, 't2000-09': 128544, 't1970-79': 85296, 't2020-29': 8}","{'a125': 74856, 'a75': 64968, 'a50': 271064, 'a25': 166016, 'a3': 74944, 'a1': 38512, 'a2': 66840}"
85,45583,county,0,37,0,0,19,19,38,0.5,1961,2047.3948,0.4389504,"{'t1990-99': 3, 't1980-89': 2, 't1969': 23, 't2000-09': 1, 't1970-79': 9}","{'a125': 2, 'a50': 7, 'a25': 25, 'a3': 1, 'a1': 1, 'a2': 2}"
86,37750,county,0,6,0,0,1,5,6,0.1667,1918,1292.6666,0.3316701,{'t1969': 6},"{'a1': 1, 'a50': 2, 'a25': 1, 'a125': 2}"
87,59150,county,0,478,0,41,411,111,522,0.7874,1988,2211.3633,18.341684,"{'t1990-99': 85, 't1980-89': 65, 't2010-19': 57, 't1969': 94, 't2000-09': 168, 't1970-79': 53}","{'a125': 1, 'a75': 9, 'a50': 14, 'a25': 5, 'a3': 391, 'a1': 38, 'a2': 64}"
88,43142,county,0,549,6,2,421,140,561,0.7504,1980,1780.2686,15.570939,"{'t1990-99': 49, 't1980-89': 57, 't2010-19': 9, 't1969': 134, 't2000-09': 206, 't1970-79': 106}","{'a125': 8, 'a75': 26, 'a50': 23, 'a25': 3, 'a3': 445, 'a1': 14, 'a2': 42}"
89,21882,county,10,1904,12,49,1529,451,1980,0.7722,1980,1889.1884,3.6857412,"{'t1990-99': 359, 't1980-89': 167, 't2010-19': 23, 't1969': 618, 't2000-09': 636, 't1970-79': 177}","{'a125': 18, 'a75': 298, 'a50': 419, 'a25': 97, 'a3': 539, 'a1': 262, 'a2': 347}"
90,3570,county,1371,24566,32,175,23555,2605,26160,0.9004,1958,2890.5781,2.4746172,"{'t1990-99': 2518, 't1980-89': 3271, 't2010-19': 271, 't1969': 14564, 't2000-09': 2599, 't1970-79': 2937}","{'a125': 902, 'a75': 2303, 'a50': 5937, 'a25': 3631, 'a3': 6511, 'a1': 2434, 'a2': 4442}"
91,3921,county,8703,198309,1128,1080,193683,15636,209319,0.9253,1959,2670.9321,1.0205268,"{'t1990-99': 17607, 't1980-89': 16305, 't2010-19': 3705, 't1969': 131235, 't2000-09': 18042, 't1970-79': 22425}","{'a125': 21126, 'a75': 16065, 'a50': 38514, 'a25': 50592, 'a3': 28242, 'a1': 19845, 'a2': 34935}"
92,4963,county,440,46731,7368,250,46661,9194,55855,0.8354,1967,2026.2396,0.6204523,"{'t1990-99': 8033, 't1980-89': 7451, 't2010-19': 736, 't1969': 26208, 't2000-09': 5969, 't1970-79': 7455, 't2020-29': 3}","{'a125': 10883, 'a75': 2979, 'a50': 12331, 'a25': 22903, 'a3': 1836, 'a1': 1965, 'a2': 2958}"
93,63642,county,0,14,2,0,9,8,17,0.5294,1961,1924.0588,2.6229916,"{'t1990-99': 2, 't2010-19': 1, 't1969': 11, 't2000-09': 1, 't1970-79': 2}","{'a125': 1, 'a50': 5, 'a25': 9, 'a3': 1, 'a2': 1}"
94,10501,county,0,202,0,2,138,79,217,0.6359,1945,1335.5853,4.1435065,"{'t1990-99': 10, 't1980-89': 18, 't2010-19': 2, 't1969': 144, 't2000-09': 20, 't1970-79': 23}","{'a125': 5, 'a75': 28, 'a50': 39, 'a25': 29, 'a3': 51, 'a1': 29, 'a2': 36}"
95,67698,county,1332,241818,16898,550,176660,84911,261571,0.6754,1979,1762.002,0.39727214,"{'t1990-99': 33459, 't1980-89': 60296, 't2010-19': 3848, 't1969': 78650, 't2000-09': 52290, 't1970-79': 33028}","{'a125': 51190, 'a75': 10266, 'a50': 39231, 'a25': 140663, 'a3': 8903, 'a1': 4778, 'a2': 6540}"
96,63934,county,0,250,0,0,187,67,254,0.7362,1985,2153.5117,4.7178655,"{'t1990-99': 44, 't1980-89': 24, 't2010-19': 19, 't1969': 43, 't2000-09': 75, 't1970-79': 49}","{'a75': 13, 'a50': 20, 'a25': 21, 'a3': 118, 'a1': 34, 'a2': 48}"
